label,type,subtyp,spec,dim1,dim2,cblcpty,conntr,ntwrkptn,cmpownr,strtfeat,endfeat,lat,lon,sg21,sg26,address,pon_no,zone_no,subplace,mainplce,mun,stackref,datecrtd,crtdby,date_edt,editby,comments
DR1737348,Cable,Drop,SM/G657A2,2.8mm,40m,1F,,,PlanNet,LAW.P.A002,LAW.ONT.DR1737348,,,,,,1,1,798038001,798038,City of Johannesburg,LAW,2025-04-14T07:50:57.765,PlanNet,,,
DR1737349,Cable,Drop,SM/G657A2,2.8mm,50m,1F,,,PlanNet,LAW.P.A002,LAW.ONT.DR1737349,,,,,,1,1,798038001,798038,City of Johannesburg,LAW,2025-04-14T07:50:57.765,PlanNet,,,
DR1737350,Cable,Drop,SM/G657A2,2.8mm,40m,1F,,,PlanNet,LAW.P.A002,LAW.ONT.DR1737350,,,,,,1,1,798038001,798038,City of Johannesburg,LAW,2025-04-14T07:50:57.765,PlanNet,,,
DR1737351,Cable,Drop,SM/G657A2,2.8mm,40m,1F,,,PlanNet,LAW.P.A002,LAW.ONT.DR1737351,,,,,,1,1,798038001,798038,City of Johannesburg,LAW,2025-04-14T07:50:57.765,PlanNet,,,
DR1737352,Cable,Drop,SM/G657A2,2.8mm,40m,1F,,,PlanNet,LAW.P.A002,LAW.ONT.DR1737352,,,,,,1,1,798038001,798038,City of Johannesburg,LAW,2025-04-14T07:50:57.765,PlanNet,,,
DR1737353,Cable,Drop,SM/G657A2,2.8mm,40m,1F,,,PlanNet,LAW.P.A002,LAW.ONT.DR1737353,,,,,,1,1,798038001,798038,City of Johannesburg,LAW,2025-04-14T07:50:57.765,PlanNet,,,
DR1737354,Cable,Drop,SM/G657A2,2.8mm,40m,1F,,,PlanNet,LAW.P.A002,LAW.ONT.DR1737354,,,,,,1,1,798038001,798038,City of Johannesburg,LAW,2025-04-14T07:50:57.765,PlanNet,,,
DR1737355,Cable,Drop,SM/G657A2,2.8mm,40m,1F,,,PlanNet,LAW.P.A002,LAW.ONT.DR1737355,,,,,,1,1,798038001,798038,City of Johannesburg,LAW,2025-04-14T07:50:57.765,PlanNet,,,
DR1737372,Cable,Drop,SM/G657A2,2.8mm,30m,1F,,,PlanNet,LAW.P.A003,LAW.ONT.DR1737372,,,,,,1,1,798038001,798038,City of Johannesburg,LAW,2025-04-14T07:50:57.765,PlanNet,,,
DR1737373,Cable,Drop,SM/G657A2,2.8mm,40m,1F,,,PlanNet,LAW.P.A003,LAW.ONT.DR1737373,,,,,,1,1,798038001,798038,City of Johannesburg,LAW,2025-04-14T07:50:57.765,PlanNet,,,
DR1737374,Cable,Drop,SM/G657A2,2.8mm,40m,1F,,,PlanNet,LAW.P.A003,LAW.ONT.DR1737374,,,,,,1,1,798038001,798038,City of Johannesburg,LAW,2025-04-14T07:50:57.765,PlanNet,,,
DR1737375,Cable,Drop,SM/G657A2,2.8mm,40m,1F,,,PlanNet,LAW.P.A003,,,,,,,1,1,798038001,798038,City of Johannesburg,LAW,2025-04-14T07:50:57.765,PlanNet,,,Spare
DR1737376,Cable,Drop,SM/G657A2,2.8mm,40m,1F,,,PlanNet,LAW.P.A003,,,,,,,1,1,798038001,798038,City of Johannesburg,LAW,2025-04-14T07:50:57.765,PlanNet,,,Spare
DR1737377,Cable,Drop,SM/G657A2,2.8mm,40m,1F,,,PlanNet,LAW.P.A003,,,,,,,1,1,798038001,798038,City of Johannesburg,LAW,2025-04-14T07:50:57.765,PlanNet,,,Spare
DR1737378,Cable,Drop,SM/G657A2,2.8mm,40m,1F,,,PlanNet,LAW.P.A003,,,,,,,1,1,798038001,798038,City of Johannesburg,LAW,2025-04-14T07:50:57.765,PlanNet,,,Spare
DR1737379,Cable,Drop,SM/G657A2,2.8mm,50m,1F,,,PlanNet,LAW.P.A003,,,,,,,1,1,798038001,798038,City of Johannesburg,LAW,2025-04-14T07:50:57.765,PlanNet,,,Spare
DR1737380,Cable,Drop,SM/G657A2,2.8mm,40m,1F,,,PlanNet,LAW.P.A005,LAW.ONT.DR1737380,,,,,,1,1,798038001,798038,City of Johannesburg,LAW,2025-04-14T07:50:57.765,PlanNet,,,
