label_1;type_1;subtyp_1;spec_1;dim1;dim2;cblcpty1;conntr1;status;cmpownr;label_2;type_2;subtyp_2;spec_2;dim1_2;dim2_2;cblcpty2;conntr2;featno1;label_3;type_3;subtyp3;spec_3;dim1_3;dim2_3;cblcpty3;conntr3;featno2;label_4;type_4;subtyp4;spec_4;dim1_4;dim2_4;cblcpty4;conntr4;featno3;label_5;type_5;subtyp5;spec_5;dim1_5;dim2_5;cblcpty5;conntr5;featno4;label_6;type_6;subtyp6;spec_6;dim1_6;dim2_6;cblcpty6;conntr6;featno5;label_7;type_7;subtyp7;spec_7;dim1_7;dim2_7;cblcpty7;conntr7;featno6;label_8;type_8;subtyp_8;spec_8;dim1_8;dim2_8;cblcpty8;conntr8;featno7;strtfeat;endfeat;lat;lon;sg21;sg26;address;pon_no;zone_no;subplace;mainplce;mun;stackref;datecrtd;crtdby;date_edt;editby;comments
MAM.P.A659;Pole;Creosote;H4SANS754;7m;140-160mm;Null;Null;Permission not granted;PlanNet;MAM.P.A659;Dead-End;Mini-ADSS;Galvanised Steel Wire/Steel Thimble;4.50-6.19mm;Null;Null;Null;1;MAM.P.A659;Tangent;;Galvanised Steel Wire/Nylon Sheave;;;Null;Null;;MAM.P.A659;Hook;Offset Bracket;1Way;(R19*W12.50mm)*1;Null;Null;Null;1;MAM.P.A659;Slack Bracket;Bracket;;;;Null;Null;;MAM.P.A659;Attachment;Strapping;Grade304 BandIt;19*0.5mm;Null;Null;Null;2;MAM.P.A659;Attachment;Buckle;Grade304 BandIt;19mm;Null;Null;Null;2;MAM.P.A659;Tension Control;Stay Set;7/2mm/M12 Set;7/2mm;;Null;Null;;Null;Null;28.4162128;-25.710687;;Null;;35;3;799046033;799046;City of Tshwane;MAM;;;;;
MAM.P.B015;Pole;Creosote;H4SANS754;7m;140-160mm;Null;Null;Permission not granted;PlanNet;MAM.P.B015;Dead-End;Mini-ADSS;Galvanised Steel Wire/Steel Thimble;4.50-6.19mm;Null;Null;Null;1;MAM.P.B015;Tangent;;Galvanised Steel Wire/Nylon Sheave;;;Null;Null;;MAM.P.B015;Hook;Offset Bracket;1Way;(R19*W12.50mm)*1;Null;Null;Null;1;MAM.P.B015;Slack Bracket;Bracket;;;;Null;Null;;MAM.P.B015;Attachment;Strapping;Grade304 BandIt;19*0.5mm;Null;Null;Null;2;MAM.P.B015;Attachment;Buckle;Grade304 BandIt;19mm;Null;Null;Null;2;MAM.P.B015;Tension Control;Stay Set;7/2mm/M12 Set;7/2mm;;Null;Null;;Null;Null;28.4164827;-25.7144689;;Null;;38;3;799046032;799046;City of Tshwane;MAM;;;;;
MAM.P.B256;Pole;Creosote;H4SANS754;7m;140-160mm;Null;Null;Permission not granted;PlanNet;MAM.P.B256;Dead-End;Mini-ADSS;Galvanised Steel Wire/Steel Thimble;4.50-6.19mm;Null;Null;Null;1;MAM.P.B256;Tangent;;Galvanised Steel Wire/Nylon Sheave;;;Null;Null;;MAM.P.B256;Hook;Offset Bracket;1Way;(R19*W12.50mm)*1;Null;Null;Null;1;MAM.P.B256;Slack Bracket;Bracket;;;;Null;Null;;MAM.P.B256;Attachment;Strapping;Grade304 BandIt;19*0.5mm;Null;Null;Null;2;MAM.P.B256;Attachment;Buckle;Grade304 BandIt;19mm;Null;Null;Null;2;MAM.P.B256;Tension Control;Stay Set;7/2mm/M12 Set;7/2mm;;Null;Null;;Null;Null;28.4171913;-25.703794;;Null;;18;2;799046026;799046;City of Tshwane;MAM;;;;;
MAM.P.B261;Pole;Creosote;H4SANS754;7m;140-160mm;Null;Null;Permission not granted;PlanNet;MAM.P.B261;Dead-End;Mini-ADSS;Galvanised Steel Wire/Steel Thimble;4.50-6.19mm;Null;Null;Null;1;MAM.P.B261;Tangent;;Galvanised Steel Wire/Nylon Sheave;;;Null;Null;;MAM.P.B261;Hook;Offset Bracket;1Way;(R19*W12.50mm)*1;Null;Null;Null;1;MAM.P.B261;Slack Bracket;Bracket;;;;Null;Null;;MAM.P.B261;Attachment;Strapping;Grade304 BandIt;19*0.5mm;Null;Null;Null;2;MAM.P.B261;Attachment;Buckle;Grade304 BandIt;19mm;Null;Null;Null;2;MAM.P.B261;Tension Control;Stay Set;7/2mm/M12 Set;7/2mm;;Null;Null;;Null;Null;28.4172043;-25.7022083;;Null;;13;1;799046027;799046;City of Tshwane;MAM;;;;;
MAM.P.B830;Pole;Creosote;H4SANS754;7m;140-160mm;Null;Null;Permission not granted;PlanNet;MAM.P.B830;Dead-End;Mini-ADSS;Galvanised Steel Wire/Steel Thimble;4.50-6.19mm;Null;Null;Null;1;MAM.P.B830;Tangent;;Galvanised Steel Wire/Nylon Sheave;;;Null;Null;;MAM.P.B830;Hook;Offset Bracket;1Way;(R19*W12.50mm)*1;Null;Null;Null;1;MAM.P.B830;Slack Bracket;Bracket;;;;Null;Null;;MAM.P.B830;Attachment;Strapping;Grade304 BandIt;19*0.5mm;Null;Null;Null;2;MAM.P.B830;Attachment;Buckle;Grade304 BandIt;19mm;Null;Null;Null;2;MAM.P.B830;Tension Control;Stay Set;7/2mm/M12 Set;7/2mm;;Null;Null;;Null;Null;28.4183534;-25.7052893;;Null;;21;2;799046026;799046;City of Tshwane;MAM;;;;;
MAM.P.A428;Pole;Creosote;H4SANS754;7m;120-140mm;Null;Null;Permission not granted;PlanNet;MAM.P.A428;Dead-End;Mini-ADSS;Galvanised Steel Wire/Steel Thimble;4.50-6.19mm;Null;Null;Null;1;MAM.P.A428;Tangent;;Galvanised Steel Wire/Nylon Sheave;;;Null;Null;;MAM.P.A428;Hook;Offset Bracket;2Way;(R19*W12.50mm)*2;Null;Null;Null;1;MAM.P.A428;Slack Bracket;Bracket;;;;Null;Null;;MAM.P.A428;Attachment;Strapping;Grade304 BandIt;19*0.5mm;Null;Null;Null;2;MAM.P.A428;Attachment;Buckle;Grade304 BandIt;19mm;Null;Null;Null;2;MAM.P.A428;Tension Control;Stay Set;7/2mm/M12 Set;7/2mm;;Null;Null;;Null;Null;28.4109927;-25.7061742;;Null;;52;5;799046025;799046;City of Tshwane;MAM;;;;;
MAM.P.A429;Pole;Creosote;H4SANS754;7m;120-140mm;Null;Null;Permission not granted;PlanNet;MAM.P.A429;Dead-End;Mini-ADSS;Galvanised Steel Wire/Steel Thimble;4.50-6.19mm;Null;Null;Null;1;MAM.P.A429;Tangent;;Galvanised Steel Wire/Nylon Sheave;;;Null;Null;;MAM.P.A429;Hook;Offset Bracket;2Way;(R19*W12.50mm)*2;Null;Null;Null;1;MAM.P.A429;Slack Bracket;Bracket;;;;Null;Null;;MAM.P.A429;Attachment;Strapping;Grade304 BandIt;19*0.5mm;Null;Null;Null;2;MAM.P.A429;Attachment;Buckle;Grade304 BandIt;19mm;Null;Null;Null;2;MAM.P.A429;Tension Control;Stay Set;7/2mm/M12 Set;7/2mm;;Null;Null;;Null;Null;28.410643;-25.7058725;;Null;;52;5;799046025;799046;City of Tshwane;MAM;;;;;
MAM.P.A433;Pole;Creosote;H4SANS754;7m;120-140mm;Null;Null;Permission not granted;PlanNet;MAM.P.A433;Dead-End;Mini-ADSS;Galvanised Steel Wire/Steel Thimble;4.50-6.19mm;Null;Null;Null;1;MAM.P.A433;Tangent;;Galvanised Steel Wire/Nylon Sheave;;;Null;Null;;MAM.P.A433;Hook;Offset Bracket;2Way;(R19*W12.50mm)*2;Null;Null;Null;1;MAM.P.A433;Slack Bracket;Bracket;;;;Null;Null;;MAM.P.A433;Attachment;Strapping;Grade304 BandIt;19*0.5mm;Null;Null;Null;2;MAM.P.A433;Attachment;Buckle;Grade304 BandIt;19mm;Null;Null;Null;2;MAM.P.A433;Tension Control;Stay Set;7/2mm/M12 Set;7/2mm;;Null;Null;;Null;Null;28.4092288;-25.705502;;Null;;54;5;799046025;799046;City of Tshwane;MAM;;;;;
MAM.P.A889;Pole;Creosote;H4SANS754;7m;120-140mm;Null;Null;Permission not granted;PlanNet;MAM.P.A889;Dead-End;Mini-ADSS;Galvanised Steel Wire/Steel Thimble;4.50-6.19mm;Null;Null;Null;1;MAM.P.A889;Tangent;;Galvanised Steel Wire/Nylon Sheave;;;Null;Null;;MAM.P.A889;Hook;Offset Bracket;2Way;(R19*W12.50mm)*2;Null;Null;Null;1;MAM.P.A889;Slack Bracket;Bracket;;;;Null;Null;;MAM.P.A889;Attachment;Strapping;Grade304 BandIt;19*0.5mm;Null;Null;Null;2;MAM.P.A889;Attachment;Buckle;Grade304 BandIt;19mm;Null;Null;Null;2;MAM.P.A889;Tension Control;Stay Set;7/2mm/M12 Set;7/2mm;;Null;Null;;Null;Null;28.4140386;-25.7105357;;Null;;31;3;799046033;799046;City of Tshwane;MAM;;;;;
MAM.P.A890;Pole;Creosote;H4SANS754;7m;120-140mm;Null;Null;Permission not granted;PlanNet;MAM.P.A890;Dead-End;Mini-ADSS;Galvanised Steel Wire/Steel Thimble;4.50-6.19mm;Null;Null;Null;1;MAM.P.A890;Tangent;;Galvanised Steel Wire/Nylon Sheave;;;Null;Null;;MAM.P.A890;Hook;Offset Bracket;2Way;(R19*W12.50mm)*2;Null;Null;Null;1;MAM.P.A890;Slack Bracket;Bracket;;;;Null;Null;;MAM.P.A890;Attachment;Strapping;Grade304 BandIt;19*0.5mm;Null;Null;Null;2;MAM.P.A890;Attachment;Buckle;Grade304 BandIt;19mm;Null;Null;Null;2;MAM.P.A890;Tension Control;Stay Set;7/2mm/M12 Set;7/2mm;;Null;Null;;Null;Null;28.4133262;-25.7103542;;Null;;31;3;799046033;799046;City of Tshwane;MAM;;;;;
