label_1,type_1,subtyp_1,spec_1,dim1,dim2,cblcpty1,conntr1,status,cmpownr,label_2,type_2,subtyp_2,spec_2,dim1_2,dim2_2,cblcpty2,conntr2,featno1,label_3,type_3,subtyp3,spec_3,dim1_3,dim2_3,cblcpty3,conntr3,featno2,label_4,type_4,subtyp4,spec_4,dim1_4,dim2_4,cblcpty4,conntr4,featno3,label_5,type_5,subtyp5,spec_5,dim1_5,dim2_5,cblcpty5,conntr5,featno4,label_6,type_6,subtyp6,spec_6,dim1_6,dim2_6,cblcpty6,conntr6,featno5,label_7,type_7,subtyp7,spec_7,dim1_7,dim2_7,cblcpty7,conntr7,featno6,label_8,type_8,subtyp_8,spec_8,dim1_8,dim2_8,cblcpty8,conntr8,featno7,strtfeat,endfeat,lat,lon,sg21,sg26,address,pon_no,zone_no,subplace,mainplce,mun,stackref,datecrtd,crtdby,date_edt,editby,comments,alpha,num1,num2,num3
MAM.P.B966,Pole,Creosote,H4SANS754,9m,140-160mm,Null,Null,Permission not granted,PlanNet,MAM.P.B966,Dead-End,ADSS,Galvanised Steel Wire/Steel Thimble,11.70-12.90mm,Null,Null,Null,"3",MAM.P.B966,Tangent,,Galvanised Steel Wire/Nylon Sheave,,,Null,Null,,MAM.P.B966,Hook,Offset Bracket,3Way,(R19*W12.50mm)*3,Null,Null,Null,"1",MAM.P.B966,Slack Bracket,Bracket,,,,Null,Null,"1",MAM.P.B966,Attachment,Strapping,Grade304 BandIt,19*0.5mm,Null,Null,Null,"4",MAM.P.B966,Attachment,Buckle,Grade304 BandIt,19mm,Null,Null,Null,"4",MAM.P.B966,Tension Control,Stay Set,7/2mm/M12 Set,7/2mm,,Null,Null,,,Null,"28.42353292207416","-25.69884540999307",,Null,,"86","8","799046029",City of Tshwane,City of Tshwane,MAM,,,,,"MAM.P.B966
CMJ Joint
MAM.AGG.DM.P.B966
MAM.FTS.8.DIS.DM.P.B966-OLT.01.C6P6
24F Mini-ADSS
MAM.DF.24F.P.B966-P.C203
24F Mini-ADSS
MAM.DF.24F.P.B966-P.C212",B,"9","6","6"
MAM.P.B967,Pole,Creosote,H4SANS754,7m,120-140mm,Null,Null,Permission not granted,PlanNet,MAM.P.B967,Dead-End,ADSS,Galvanised Steel Wire/Steel Thimble,11.70-12.90mm,Null,Null,Null,"2",MAM.P.B967,Tangent,,Galvanised Steel Wire/Nylon Sheave,,,Null,Null,,MAM.P.B967,Hook,Offset Bracket,2Way,"(R19*W12,50mm)*2",Null,Null,Null,"1",MAM.P.B967,Slack Bracket,Bracket,,,,Null,Null,,MAM.P.B967,Attachment,Strapping,Grade304 BandIt,19*0.5mm,Null,Null,Null,,MAM.P.B967,Attachment,Buckle,Grade304 BandIt,19mm,Null,Null,Null,,MAM.P.B967,Tension Control,Stay Set,7/2mm/M12 Set,7/2mm,,Null,Null,,,Null,"28.423951575081343","-25.699305848153553",,Null,,,,"799046029",City of Tshwane,City of Tshwane,MAM,,,,,,B,"9","6","7"
MAM.P.B968,Pole,Creosote,H4SANS754,7m,140-160mm,Null,Null,Permission not granted,PlanNet,MAM.P.B968,Dead-End,ADSS,Galvanised Steel Wire/Steel Thimble,11.70-12.90mm,Null,Null,Null,"2",MAM.P.B968,Tangent,,Galvanised Steel Wire/Nylon Sheave,,,Null,Null,,MAM.P.B968,Hook,Offset Bracket,2Way,"(R19*W12,50mm)*2",Null,Null,Null,"1",MAM.P.B968,Slack Bracket,Bracket,,,,Null,Null,,MAM.P.B968,Attachment,Strapping,Grade304 BandIt,19*0.5mm,Null,Null,Null,"4",MAM.P.B968,Attachment,Buckle,Grade304 BandIt,19mm,Null,Null,Null,"4",MAM.P.B968,Tension Control,Stay Set,7/2mm/M12 Set,7/2mm,,Null,Null,,,Null,"28.424360571995393","-25.69972854610638",,Null,,,,"799046029",City of Tshwane,City of Tshwane,MAM,,,,,,B,"9","6","8"
MAM.P.B969,Pole,Creosote,H4SANS754,7m,120-140mm,Null,Null,Permission not granted,PlanNet,MAM.P.B969,Dead-End,ADSS,Galvanised Steel Wire/Steel Thimble,11.70-12.90mm,Null,Null,Null,"2",MAM.P.B969,Tangent,,Galvanised Steel Wire/Nylon Sheave,,,Null,Null,,MAM.P.B969,Hook,Offset Bracket,2Way,"(R19*W12,50mm)*2",Null,Null,Null,"1",MAM.P.B969,Slack Bracket,Bracket,,,,Null,Null,,MAM.P.B969,Attachment,Strapping,Grade304 BandIt,19*0.5mm,Null,Null,Null,,MAM.P.B969,Attachment,Buckle,Grade304 BandIt,19mm,Null,Null,Null,,MAM.P.B969,Tension Control,Stay Set,7/2mm/M12 Set,7/2mm,,Null,Null,,,Null,"28.4248325123949","-25.699874508995833",,Null,,,"8","799046029",City of Tshwane,City of Tshwane,MAM,,,,,,B,"9","6","9"
MAM.P.B970,Pole,Creosote,H4SANS754,7m,140-160mm,Null,Null,Permission not granted,PlanNet,MAM.P.B970,Dead-End,ADSS,Galvanised Steel Wire/Steel Thimble,11.70-12.90mm,Null,Null,Null,"2",MAM.P.B970,Tangent,,Galvanised Steel Wire/Nylon Sheave,,,Null,Null,,MAM.P.B970,Hook,Offset Bracket,2Way,"(R19*W12,50mm)*2",Null,Null,Null,"1",MAM.P.B970,Slack Bracket,Bracket,,,,Null,Null,,MAM.P.B970,Attachment,Strapping,Grade304 BandIt,19*0.5mm,Null,Null,Null,,MAM.P.B970,Attachment,Buckle,Grade304 BandIt,19mm,Null,Null,Null,,MAM.P.B970,Tension Control,Stay Set,7/2mm/M12 Set,7/2mm,,Null,Null,,,Null,"28.425273897783928","-25.70000188001181",,Null,,"112","9","799046029",City of Tshwane,City of Tshwane,MAM,,,,,,B,"9","7","0"
MAM.P.B971,Pole,Creosote,H4SANS754,7m,120-140mm,Null,Null,Permission not granted,PlanNet,MAM.P.B971,Dead-End,ADSS,Galvanised Steel Wire/Steel Thimble,11.70-12.90mm,Null,Null,Null,"2",MAM.P.B971,Tangent,,Galvanised Steel Wire/Nylon Sheave,,,Null,Null,,MAM.P.B971,Hook,Offset Bracket,2Way,"(R19*W12,50mm)*2",Null,Null,Null,"1",MAM.P.B971,Slack Bracket,Bracket,,,,Null,Null,,MAM.P.B971,Attachment,Strapping,Grade304 BandIt,19*0.5mm,Null,Null,Null,,MAM.P.B971,Attachment,Buckle,Grade304 BandIt,19mm,Null,Null,Null,,MAM.P.B971,Tension Control,Stay Set,7/2mm/M12 Set,7/2mm,,Null,Null,,,Null,"28.425715512241993","-25.70044512702157",,Null,,"112","9","799046029",City of Tshwane,City of Tshwane,MAM,,,,,,B,"9","7","1"
MAM.P.B972,Pole,Creosote,H4SANS754,7m,120-140mm,Null,Null,Permission not granted,PlanNet,MAM.P.B972,Dead-End,ADSS,Galvanised Steel Wire/Steel Thimble,11.70-12.90mm,Null,Null,Null,"2",MAM.P.B972,Tangent,,Galvanised Steel Wire/Nylon Sheave,,,Null,Null,,MAM.P.B972,Hook,Offset Bracket,2Way,"(R19*W12,50mm)*2",Null,Null,Null,"1",MAM.P.B972,Slack Bracket,Bracket,,,,Null,Null,,MAM.P.B972,Attachment,Strapping,Grade304 BandIt,19*0.5mm,Null,Null,Null,,MAM.P.B972,Attachment,Buckle,Grade304 BandIt,19mm,Null,Null,Null,,MAM.P.B972,Tension Control,Stay Set,7/2mm/M12 Set,7/2mm,,Null,Null,,,Null,"28.426155171198197","-25.700886411300413",,Null,,"112","9","799046029",City of Tshwane,City of Tshwane,MAM,,,,,,B,"9","7","2"
MAM.P.B973,Pole,Creosote,H4SANS754,7m,120-140mm,Null,Null,Permission not granted,PlanNet,MAM.P.B973,Dead-End,Mini-ADSS,Galvanised Steel Wire/Steel Thimble,4.50-6.19mm,Null,Null,Null,"2",MAM.P.B973,Tangent,,Galvanised Steel Wire/Nylon Sheave,,,Null,Null,,MAM.P.B973,Hook,Offset Bracket,2Way,"(R19*W12,50mm)*2",Null,Null,Null,"1",MAM.P.B973,Slack Bracket,Bracket,,,,Null,Null,,MAM.P.B973,Attachment,Strapping,Grade304 BandIt,19*0.5mm,Null,Null,Null,,MAM.P.B973,Attachment,Buckle,Grade304 BandIt,19mm,Null,Null,Null,,MAM.P.B973,Tension Control,Stay Set,7/2mm/M12 Set,7/2mm,,Null,Null,,,Null,"28.426617566769856","-25.7013108139902",,Null,,"112","9","799046029",City of Tshwane,City of Tshwane,MAM,,,,,,B,"9","7","3"
MAM.P.B974,Pole,Creosote,H4SANS754,7m,140-160mm,Null,Null,Permission not granted,PlanNet,MAM.P.B974,Dead-End,ADSS,Galvanised Steel Wire/Steel Thimble,11.70-12.90mm,Null,Null,Null,"3",MAM.P.B974,Tangent,,Galvanised Steel Wire/Nylon Sheave,,,Null,Null,,MAM.P.B974,Hook,Offset Bracket,3Way,(R19*W12.50mm)*3,Null,Null,Null,"1",MAM.P.B974,Slack Bracket,Bracket,,,,Null,Null,"1",MAM.P.B974,Attachment,Strapping,Grade304 BandIt,19*0.5mm,Null,Null,Null,,MAM.P.B974,Attachment,Buckle,Grade304 BandIt,19mm,Null,Null,Null,,MAM.P.B974,Tension Control,Stay Set,7/2mm/M12 Set,7/2mm,,Null,Null,,,Null,"28.427077349742962","-25.701730711633548",,Null,,"112","9","799046029",City of Tshwane,City of Tshwane,MAM,,,,,,B,"9","7","4"
MAM.P.B975,Pole,Creosote,H4SANS754,7m,140-160mm,Null,Null,Permission not granted,PlanNet,MAM.P.B975,Dead-End,ADSS,Galvanised Steel Wire/Steel Thimble,11.70-12.90mm,Null,Null,Null,"3",MAM.P.B975,Tangent,,Galvanised Steel Wire/Nylon Sheave,,,Null,Null,,MAM.P.B975,Hook,Offset Bracket,3Way,(R19*W12.50mm)*3,Null,Null,Null,"1",MAM.P.B975,Slack Bracket,Bracket,,,,Null,Null,"1",MAM.P.B975,Attachment,Strapping,Grade304 BandIt,19*0.5mm,Null,Null,Null,,MAM.P.B975,Attachment,Buckle,Grade304 BandIt,19mm,Null,Null,Null,,MAM.P.B975,Tension Control,Stay Set,7/2mm/M12 Set,7/2mm,,Null,Null,,,Null,"28.427514015736907","-25.702081949607646",,Null,,"111","9","799046029",City of Tshwane,City of Tshwane,MAM,,,,,"MAM.P.B975
CMJ Joint
MAM.AGG.DM.P.B975
MAM.FTS.8.DIS.DM.P.B975-OLT.01.C7P14
24F Mini-ADSS
MAM.DF.24F.P.B975-P.C379",B,"9","7","5"
